,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
104,Nikola Vucevic,CHI,H,DET,04/09/2023,W,18,102.9,77.1,25.7,0.0,0.0,0.0,0.0,38.9,20.0,0.0,44.4,44.4,25.7,96.28,19.5
105,Kessler Edwards,SAC,A,DEN,04/09/2023,L,10,81.0,113.6,-32.7,0.0,0.0,0.0,8.3,0.0,5.3,0.0,0.0,0.0,8.0,105.67,-17.2
106,James Wiseman,DET,A,CHI,04/09/2023,L,25,72.5,136.0,-63.5,0.0,0.0,0.0,20.7,24.0,22.2,26.7,44.4,51.1,23.8,97.61,9.0
107,Joe Wieskamp,TOR,H,MIL,04/09/2023,W,15,106.5,106.3,0.2,15.4,0.0,25.0,0.0,8.3,3.2,0.0,0.0,0.0,16.2,98.5,-7.2
108,Mike Conley,MIN,H,NOP,04/09/2023,W,35,110.4,102.6,7.8,29.2,7.0,31.8,0.0,5.6,2.8,4.5,50.0,60.4,17.6,107.98,11.1
109,Evan Fournier,NYK,H,IND,04/09/2023,L,12,100.0,155.6,-55.6,0.0,0.0,0.0,0.0,11.1,4.8,20.0,0.0,0.0,16.7,108.56,-7.7
110,Scottie Barnes,TOR,H,MIL,04/09/2023,W,22,119.1,102.1,17.0,27.8,5.0,33.3,0.0,8.3,4.5,6.7,44.4,44.4,20.4,103.88,8.5
111,Justin Champagnie,BOS,H,ATL,04/09/2023,W,20,117.5,115.8,1.7,20.0,0.0,20.0,9.1,11.1,10.0,0.0,20.8,20.8,24.5,94.39,2.2
112,Johnny Juzang,UTA,A,LAL,04/09/2023,L,16,127.8,105.7,22.1,0.0,0.0,0.0,11.1,11.8,11.4,0.0,44.4,44.4,22.0,106.06,7.3
113,Usman Garuba,HOU,A,WAS,04/09/2023,W,12,85.7,89.3,-3.6,0.0,0.0,0.0,5.9,13.3,9.4,40.0,0.0,0.0,15.2,113.58,-7.8
114,D'Angelo Russell,LAL,H,UTA,04/09/2023,W,33,121.6,109.6,12.0,17.9,2.5,23.8,0.0,5.9,2.9,9.5,57.7,59.4,19.0,105.56,7.7
115,Trent Forrest,ATL,A,BOS,04/09/2023,L,17,119.4,116.7,2.8,31.3,0.0,55.6,0.0,11.1,6.1,0.0,0.0,0.0,10.8,103.58,4.2
116,Xavier Cooks,WAS,H,HOU,04/09/2023,L,38,112.3,106.0,6.3,0.0,0.0,0.0,15.6,16.7,16.1,7.7,45.5,42.1,13.8,103.22,7.7
117,Vit Krejci,ATL,A,BOS,04/09/2023,L,20,105.0,117.1,-12.1,20.0,3.0,60.0,4.5,14.3,9.3,20.0,0.0,0.0,4.1,95.92,4.1
118,John Butler Jr.,POR,H,GSW,04/09/2023,L,22,75.0,155.1,-80.1,0.0,0.0,0.0,0.0,5.9,2.2,0.0,30.0,30.0,9.1,110.1,-1.6
119,Wendell Carter Jr.,ORL,A,MIA,04/09/2023,L,16,102.7,105.4,-2.7,8.3,0.0,25.0,0.0,22.2,11.1,0.0,0.0,0.0,7.5,108.85,2.6
120,Josh Richardson,NOP,A,MIN,04/09/2023,L,29,93.9,104.7,-10.7,4.8,0.5,12.5,6.5,9.7,8.1,25.0,20.0,20.0,9.3,107.28,-1.1
121,Isaiah Todd,WAS,H,HOU,04/09/2023,L,45,105.1,111.1,-6.1,10.8,4.0,21.1,3.8,20.0,11.8,5.3,19.2,25.2,13.3,104.59,3.4
122,Cory Joseph,DET,A,CHI,04/09/2023,L,37,81.8,100.0,-18.2,42.9,4.5,42.9,4.4,4.5,4.5,9.5,25.0,23.9,13.3,99.58,4.0
123,Nicolas Batum,LAC,A,PHX,04/09/2023,W,22,106.5,117.8,-11.3,5.3,0.0,33.3,4.2,12.0,8.2,0.0,0.0,0.0,4.0,101.66,0.0
124,John Konchar,MEM,A,OKC,04/09/2023,L,36,92.2,111.7,-19.5,11.5,3.0,33.3,5.0,21.9,12.5,11.1,20.0,20.0,7.1,103.66,5.5
125,Dru Smith,BKN,H,PHI,04/09/2023,L,24,75.0,113.0,-38.0,21.4,3.0,33.3,0.0,14.8,7.0,11.1,0.0,20.5,10.7,107.19,1.2
126,Mfiondu Kabengele,BOS,H,ATL,04/09/2023,W,19,117.9,112.8,5.1,0.0,0.0,0.0,9.1,11.1,10.0,0.0,25.0,41.0,11.1,99.05,6.9
127,Jabari Smith Jr.,HOU,A,WAS,04/09/2023,W,31,104.3,104.3,-0.1,0.0,0.0,0.0,3.1,10.3,7.0,6.3,59.1,68.9,21.1,107.57,12.1
128,Herbert Jones,NOP,A,MIN,04/09/2023,L,39,105.9,94.1,11.8,11.8,1.33,33.3,2.4,4.8,3.6,25.0,25.0,41.0,8.2,105.1,3.5
129,Andrew Nembhard,IND,A,NYK,04/09/2023,W,38,124.4,126.4,-2.0,33.3,4.5,34.6,0.0,6.3,3.5,7.7,57.7,62.5,18.3,110.52,11.8
130,Nickeil Alexander-Walker,MIN,H,NOP,04/09/2023,W,16,145.7,89.7,56.0,17.6,1.5,33.3,0.0,0.0,0.0,22.2,37.5,37.5,15.0,108.72,-2.0
131,Omer Yurtseven,MIA,H,ORL,04/09/2023,W,24,142.0,120.0,22.0,0.0,0.0,0.0,12.5,20.0,17.1,9.1,61.1,67.8,20.0,100.0,9.8
132,Aaron Holiday,ATL,A,BOS,04/09/2023,L,31,112.7,123.8,-11.1,24.0,3.0,30.0,2.6,3.3,2.9,10.0,29.2,29.2,17.7,96.56,2.4
133,Darius Bazley,PHX,H,LAC,04/09/2023,L,27,103.4,124.1,-20.7,12.5,2.0,11.8,12.5,16.7,14.5,5.9,57.7,55.9,23.1,104.4,13.1
134,Daishen Nix,HOU,A,WAS,04/09/2023,W,18,89.5,89.7,-0.3,7.7,1.0,16.7,0.0,4.8,2.3,16.7,25.0,25.0,11.4,104.11,0.0
135,Malachi Flynn,TOR,H,MIL,04/09/2023,W,36,114.3,98.7,15.6,14.3,2.0,18.2,0.0,11.4,5.6,9.1,57.1,63.5,21.7,103.33,10.0
136,Johnny Davis,WAS,H,HOU,04/09/2023,L,40,103.5,116.1,-12.6,27.6,8.0,25.8,4.2,10.8,7.1,3.2,27.5,29.9,23.5,103.76,2.9
137,Sam Merrill,CLE,H,CHA,04/09/2023,L,26,101.8,121.8,-20.0,7.7,0.0,7.1,0.0,21.1,8.5,0.0,62.5,66.0,22.0,101.6,15.3
138,PJ Dozier,SAC,A,DEN,04/09/2023,L,24,70.0,120.0,-50.0,50.0,3.0,37.5,3.4,15.8,8.3,12.5,25.0,25.0,17.9,98.56,8.2
139,Cam Thomas,BKN,H,PHI,04/09/2023,L,43,106.5,126.6,-20.1,5.9,0.25,2.7,0.0,4.3,2.2,10.8,65.5,70.7,35.0,104.98,17.2
140,Patrick Williams,CHI,H,DET,04/09/2023,W,22,88.4,91.1,-2.7,6.7,0.0,16.7,3.4,3.8,3.6,0.0,20.0,20.0,9.8,96.59,1.5
141,Jalen Green,HOU,A,WAS,04/09/2023,W,27,111.3,106.5,4.8,19.0,0.0,25.0,0.0,5.6,3.1,0.0,55.0,59.5,17.6,109.61,11.9
142,Kevin Knox II,POR,H,GSW,04/09/2023,L,33,85.4,128.4,-43.0,4.5,0.0,5.3,0.0,0.0,0.0,0.0,31.3,36.6,20.5,118.37,0.0
143,Keita Bates-Diop,SAS,A,DAL,04/09/2023,W,24,125.9,98.3,27.6,9.5,2.0,11.1,0.0,16.2,9.7,5.6,53.6,53.9,25.0,115.2,11.9
144,Trey Lyles,SAC,A,DEN,04/09/2023,L,20,77.5,126.8,-49.3,0.0,0.0,0.0,0.0,10.5,5.4,33.3,25.0,25.0,14.3,98.76,-2.9
