,Date,Home,Away,Favorite,Spread,O/U,Attendance,Capacity
284,12/17/2023,NOP,SAS,NOP,-7.5,238.5,18354,[]
285,12/17/2023,HOU,MIL,MIL,-7.5,231.5,17341,[]
286,12/17/2023,WAS,PHX,PHX,-12.5,246.5,17071,[]
287,12/17/2023,GSW,POR,GSW,-5.5,233.5,18547,[]
288,12/18/2023,HOU,CLE,CLE,-3.5,214.5,19432,[]
289,12/18/2023,LAC,IND,LAC,-3.5,251.5,16665,[]
290,12/18/2023,CHI,PHI,PHI,-10.5,227.5,19773,[]
291,12/18/2023,DET,ATL,ATL,-11.5,246.5,17664,[]
292,12/18/2023,MIN,MIA,MIN,-1.5,217.5,19819,[]
293,12/18/2023,CHA,TOR,TOR,-12.5,224.5,19288,[]
294,12/18/2023,MEM,OKC,OKC,-10.5,229.5,16409,[]
295,12/18/2023,DAL,DEN,DEN,-8.5,239.5,19659,[]
296,12/18/2023,BKN,UTA,BKN,-3.5,233.5,18206,[]
297,12/18/2023,WAS,SAC,SAC,-14.5,252.5,17794,[]
298,12/18/2023,NYK,LAL,LAL,-5.5,236.5,18997,[]
299,12/19/2023,MEM,NOP,NOP,-8.5,229.5,18355,[]
300,12/19/2023,SAS,MIL,MIL,-16.5,248.5,17729,[]
301,12/19/2023,BOS,GSW,BOS,-5.5,233.5,18064,[]
302,12/19/2023,PHX,POR,PHX,-7.5,230.5,18233,[]
303,12/20/2023,UTA,CLE,CLE,-3.5,225.5,19432,[]
304,12/20/2023,CHA,IND,IND,-10.5,245.5,16761,[]
305,12/20/2023,MIA,ORL,ORL,-5.5,219.5,19129,[]
306,12/20/2023,MIN,PHI,PHI,-4.5,226.5,20365,[]
307,12/20/2023,NYK,BKN,NYK,-1.5,233.5,18071,[]
308,12/20/2023,DEN,TOR,DEN,-4.5,229.5,19800,[]
309,12/20/2023,LAL,CHI,LAL,-3.5,225.5,21234,[]
310,12/20/2023,ATL,HOU,HOU,-2.5,234.5,18055,[]
311,12/20/2023,LAC,DAL,LAC,-1.5,237.5,20310,[]
312,12/20/2023,BOS,SAC,SAC,-3.5,237.5,17874,[]
313,12/21/2023,UTA,DET,DET,-2.5,235.5,18122,[]
314,12/21/2023,NOP,CLE,NOP,-4.5,224.5,19432,[]
315,12/21/2023,SAS,CHI,CHI,-6.5,229.5,20697,[]
316,12/21/2023,IND,MEM,MEM,-2.5,247.5,18160,[]
317,12/21/2023,ORL,MIL,MIL,-8.5,238.5,17928,[]
318,12/21/2023,LAC,OKC,OKC,-6.5,237.5,18203,[]
319,12/21/2023,LAL,MIN,MIN,-8.5,222.5,18024,[]
320,12/21/2023,WAS,POR,POR,-4.5,238.5,18690,[]
321,12/22/2023,TOR,PHI,PHI,-8.5,230.5,20230,[]
322,12/22/2023,DEN,BKN,DEN,-5.5,231.5,17732,[]
323,12/22/2023,ATL,MIA,MIA,-1.5,238.5,20029,[]
324,12/22/2023,DAL,HOU,HOU,-8.5,222.5,18055,[]
325,12/22/2023,WAS,GSW,GSW,-11.5,248.5,18064,[]
326,12/22/2023,PHX,SAC,SAC,-3.5,244.5,17794,[]
327,12/23/2023,MIL,NYK,MIL,-2.5,243.5,19812,[]
328,12/23/2023,BOS,LAC,BOS,-4.5,231.5,19370,[]
329,12/23/2023,DEN,CHA,DEN,-10.5,224.5,19165,[]
330,12/23/2023,ORL,IND,IND,-2.5,244.5,17274,[]
331,12/23/2023,HOU,NOP,NOP,-7.5,226.5,17399,[]
332,12/23/2023,MEM,ATL,ATL,-1.5,237.5,17632,[]
333,12/23/2023,DET,BKN,BKN,-9.5,231.5,17732,[]
334,12/23/2023,UTA,TOR,TOR,-5.5,232.5,19420,[]
335,12/23/2023,CLE,CHI,CHI,-6.5,214.5,19583,[]
336,12/23/2023,LAL,OKC,OKC,-3.5,239.5,18203,[]
337,12/23/2023,SAS,DAL,DAL,-8.5,243.5,20409,[]
338,12/23/2023,POR,GSW,GSW,-8.5,228.5,18064,[]
339,12/23/2023,MIN,SAC,SAC,-2.5,232.5,17983,[]
340,12/25/2023,MIL,NYK,MIL,-3.5,243.5,19812,[]
341,12/25/2023,GSW,DEN,DEN,-7.5,235.5,19811,[]
342,12/25/2023,BOS,LAL,BOS,-5.5,235.5,18997,[]
343,12/25/2023,PHI,MIA,MIA,-2.5,227.5,20162,[]
344,12/25/2023,DAL,PHX,PHX,-4.5,243.5,17071,[]
345,12/26/2023,BKN,DET,BKN,-6.5,228.5,19811,[]
346,12/26/2023,ORL,WAS,ORL,-7.5,237.5,16293,[]
347,12/26/2023,ATL,CHI,ATL,-2.5,237.5,21420,[]
348,12/26/2023,IND,HOU,HOU,-2.5,240.5,18055,[]
349,12/26/2023,MEM,NOP,NOP,-4.5,228.5,18538,[]
350,12/26/2023,MIN,OKC,OKC,-1.5,230.5,18203,[]
351,12/26/2023,UTA,SAS,UTA,-2.5,241.5,18579,[]
352,12/26/2023,SAC,POR,SAC,-8.5,236.5,18585,[]
353,12/26/2023,CHA,LAC,LAC,-11.5,226.5,19370,[]
