,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
136,Jalen McDaniels TOR,TOR,H,04/14/2024,L,23,112.8,110.2,2.6,11.8,1.00,16.7,0.0,9.5,4.3,16.7,35.7,44.4,17.9,99.31,2.0,
137,Damian Lillard MIL,MIL,H,04/14/2024,L,30,98.4,115.0,-16.6,11.8,1.00,8.7,3.2,9.7,6.5,8.7,14.3,40.6,30.0,96.37,6.7,
138,Bogdan Bogdanovic ATL,ATL,H,04/14/2024,L,28,103.2,153.2,-50.0,7.1,0.00,5.9,3.4,14.3,8.0,0.0,50.0,55.1,23.2,108.42,8.9,
139,Klay Thompson GSW,GSW,H,04/14/2024,W,20,128.6,125.6,3.0,25.0,0.00,16.7,0.0,17.6,8.1,0.0,76.9,82.2,31.9,104.46,23.4,
140,Trae Young ATL,ATL,H,04/14/2024,L,32,106.6,156.8,-50.2,54.5,1.50,40.0,3.0,8.0,5.2,26.7,50.0,58.1,22.0,112.79,6.5,
141,Sandro Mamukelashvili SAS,SAS,H,04/14/2024,W,26,105.6,94.5,11.0,5.9,0.33,5.6,7.1,20.7,14.0,16.7,65.4,64.8,27.0,100.68,15.6,
142,Julian Champagnie SAS,SAS,H,04/14/2024,W,26,128.6,92.9,35.7,24.0,3.00,33.3,0.0,10.7,5.8,11.1,55.6,55.7,19.4,105.00,9.0,
143,Evan Fournier DET,DET,H,04/14/2024,L,17,86.1,119.4,-33.3,12.5,0.00,11.1,0.0,7.1,2.8,0.0,37.5,35.5,19.5,103.47,2.8,
144,Lonnie Walker IV,BKN,A,PHI,04/14/2024,L,29,77.2,115.3,-38.1,45.5,2.50,22.7,0.0,17.6,8.8,9.1,40.0,40.0,28.3,96.06,12.8
145,Jalen Suggs ORL,ORL,H,04/14/2024,W,28,121.4,100.0,21.4,16.7,4.00,44.4,0.0,7.4,3.6,11.1,33.3,51.5,7.6,95.34,5.3,
146,Skylar Mays LAL,LAL,H,04/14/2024,W,2,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,134.58,-200.0,
147,Jack White MEM,MEM,H,04/14/2024,L,9,104.5,104.5,0.0,0.0,0.00,0.0,9.1,9.1,9.1,0.0,0.0,0.0,16.0,113.35,-7.0,
